start	end	text
952582	953743	Is this for your husband?
953823	954544	Yes.
954564	956687	And we will also take a quarter of your brown rice broth.
957187	958930	Do you have anything that tastes good?
959811	961393	Hmm.
961413	961673	Uh...
962935	964116	No.
964136	965418	Ooh, look at this, Uncle Hank.
965958	971605	Experience moxibustion with Mr. Lee, board-certified moxibustionist.
972166	974789	Relieves stress and opens the energy channels.
975409	976631	What the hell is that?
977051	979554	He sticks needles in your skin and sets them on fire.
979734	982257	Anyone ever try that on me, I'll kick his ass.
984059	985521	No, watch out behind you!
985601	985901	No!
986322	987183	Oh, God.
987323	989145	Gatorade all down his back.
990172	991114	Hank, it's two o'clock.
991354	991975	Bathroom time.
992315	994179	Peg, can I just... Bathroom time.
995621	996062	All right.
998966	999768	Hi there, Peggy.
1000068	1003934	We were wondering if Hank could come out and help us with my fence.
1003954	1005257	Oh, I'm sorry, Dale.
1005277	1006799	Hank is having his bathroom time.
1007260	1011066	Maybe later.
1034688	1050046	Well, thank you all for coming.
1050707	1053690	I thought it would help cheer Hank up to have all of his friends here.
1054371	1056053	I think he's making a lot of progress.
1056493	1057775	Well, where are you going, Hank?
1058075	1058556	To the bathroom.
1059457	1061719	Now just try to relax, Hank, and concentrate.
1062160	1063041	This could be it.
1067408	1068430	Peggy, please!
1070594	1084000	Come on, Hank.
1097547	1102173	No, no, see what I'm saying is salad don't always have to have salad in it.
1102193	1104136	See, there's potato salad in it.
1105117	1105397	Ooh.
1107099	1108922	I'm sorry, Peg, I let you down.
1109523	1110364	Let y'all down.
1110684	1111625	Don't you worry, Hank.
1112186	1119015	We still have 24 hours before your appointment, and we're gonna make the most of it.
1146417	1149141	You know, Hank seems a little down.
1149441	1150944	Well, he's a shell of a man.
1151404	1154749	I never thought Hank would have the willpower to give up everything he enjoyed in life.
1155070	1155991	Well, that's not Hank.
1156311	1156812	That's me.
1157213	1162000	I mean, if it was up to him, he'd still be eating burgers in the backyard with Dale, Bill, and BoomHour.
1162360	1169691	He'd still be drinking beer and shouting at the TV set and having a lot of fun.
1176218	1176720	Wait here.
1179250	1179491	So?
1180214	1181018	So what?
1181198	1187022	Well, I heard a... I mean, I wasn't listening, but I did hear a... Oh, that was my glasses.
1188959	1190601	Look, honey, we gotta talk.
1191483	1194407	I know you want to help, but this is getting out of control.
1195007	1197551	You can't treat a grown man like a baby.
1198012	1198693	It ain't right.
1199233	1206844	I feel like I've been trying to be someone else lately, eating food I don't eat, and I'm just not gonna do it anymore.
1207305	1210649	And if I don't ever poop again, well, that's just gonna be who I am.
1211390	1215816	I'd rather die with a burger in my colon than live and eat foe-foo.
1216617	1218460	Hank, I know and.
1218997	1219919	It's okay, you're right.
1220500	1220721	What?
1221302	1226272	Well, I'm only doing this because I want you to be around as long as possible because I love you.
1227194	1229378	But I have to let you be you.
1229418	1231943	Oh, thank you.
1232685	1234990	I'll still be here for a good long while.
1235150	1235671	I worry.
1236272	1236994	I know you do.
1237134	1238136	That you could.
1238740	1239741	I know, honey.
1240342	1242565	And I'm a lucky son of a gun, I tell you what.
1243126	1248032	To have a woman like you care so much about me, I'm gonna be more open.
1248552	1250034	Tell you how I'm doing more.
1250074	1251676	And let you in.
1253058	1255822	I just want this moment to last forever, Hank.
1256062	1256623	Me too.
1258966	1259706	But it can't.
1260047	1261969	Oh, hold me, Hank.
1261989	1262210	No.
1262730	1262971	No.
1263531	1263972	Let go.
1264112	1264933	Let go.
1271933	1276813	Hmm.
1300402	1327270	you might have noticed in tonight's episode there was some brief nudity now as an actor I only do nudity when I feel the script warrants it and I thought tonight's episode only warranted seeing the side of my rump you can believe me when I tell you the Fox executives were pushing for a whole lot more if any of you were offended by my body I'm truly sorry good night
